case_id,timestamp,process,activity,actor_role,object_code,quantity,from_location,to_location,status,exception_type,source_action_id,data_origin
P2P-001,2026-06-20 09:00:00,P2P,Purchase Order Created,buyer,CWI26_PO_001,1,CWI26_VENDOR_A,CWI26_RAW,completed,,ACT-0020,ecount_reconstructed
P2P-001,2026-06-20 09:05:00,P2P,PO Line Added,buyer,CWI26_RM_PCB,20,CWI26_VENDOR_A,CWI26_RAW,completed,,ACT-0021,ecount_reconstructed
P2P-001,2026-06-20 09:06:00,P2P,PO Line Added,buyer,CWI26_RM_SENSOR,20,CWI26_VENDOR_A,CWI26_RAW,completed,,ACT-0022,ecount_reconstructed
P2P-001,2026-06-20 09:07:00,P2P,PO Line Added,buyer,CWI26_RM_CABLE,50,CWI26_VENDOR_A,CWI26_RAW,completed,,ACT-0023,ecount_reconstructed
P2P-001,2026-06-20 09:08:00,P2P,PO Line Added,buyer,CWI26_RM_CASE,20,CWI26_VENDOR_A,CWI26_RAW,completed,,ACT-0024,ecount_reconstructed
P2P-001,2026-06-20 09:09:00,P2P,PO Line Added,buyer,CWI26_PKG_BOX,20,CWI26_VENDOR_B,CWI26_RAW,completed,,ACT-0025,ecount_reconstructed
P2P-001,2026-06-20 10:00:00,P2P,Goods Received,warehouse_operator,CWI26_RM_PCB,20,CWI26_VENDOR_A,CWI26_RAW,completed,,ACT-0026,ecount_reconstructed
P2P-001,2026-06-20 10:05:00,P2P,Goods Received,warehouse_operator,CWI26_RM_SENSOR,20,CWI26_VENDOR_A,CWI26_RAW,completed,,ACT-0027,ecount_reconstructed
P2P-001,2026-06-20 10:10:00,P2P,Goods Received,warehouse_operator,CWI26_RM_CABLE,50,CWI26_VENDOR_A,CWI26_RAW,completed,,ACT-0028,ecount_reconstructed
P2P-001,2026-06-20 10:15:00,P2P,Goods Received,warehouse_operator,CWI26_RM_CASE,20,CWI26_VENDOR_A,CWI26_RAW,completed,,ACT-0029,ecount_reconstructed
P2P-001,2026-06-20 10:20:00,P2P,Goods Received,warehouse_operator,CWI26_PKG_BOX,20,CWI26_VENDOR_B,CWI26_RAW,completed,,ACT-0030,ecount_reconstructed
P2P-001,2026-06-20 10:30:00,P2P,Inventory Updated,system,CWI26_RM_PCB,20,,CWI26_RAW,completed,,ACT-0031,ecount_reconstructed
P2P-001,2026-06-20 10:31:00,P2P,Inventory Updated,system,CWI26_RM_SENSOR,20,,CWI26_RAW,completed,,ACT-0032,ecount_reconstructed
P2P-001,2026-06-20 10:32:00,P2P,Inventory Updated,system,CWI26_RM_CABLE,50,,CWI26_RAW,completed,,ACT-0033,ecount_reconstructed
P2P-001,2026-06-20 10:33:00,P2P,Inventory Updated,system,CWI26_RM_CASE,20,,CWI26_RAW,completed,,ACT-0034,ecount_reconstructed
P2P-001,2026-06-20 10:34:00,P2P,Inventory Updated,system,CWI26_PKG_BOX,20,,CWI26_RAW,completed,,ACT-0035,ecount_reconstructed
MFG-001,2026-06-20 13:00:00,Manufacturing,Work Order Created,production_planner,CWI26_WO_001,1,,CWI26_WIP,completed,,ACT-0040,ecount_reconstructed
MFG-001,2026-06-20 13:05:00,Manufacturing,BOM Components Calculated,system,CWI26_FG_KIT_BOM,10,,CWI26_WIP,completed,,ACT-0041,ecount_reconstructed
MFG-001,2026-06-20 13:10:00,Manufacturing,Material Issued,production_operator,CWI26_SUB_CTRL,10,CWI26_WIP,CWI26_WIP,completed,,ACT-0042,ecount_reconstructed
MFG-001,2026-06-20 13:12:00,Manufacturing,Material Issued,production_operator,CWI26_RM_SENSOR,10,CWI26_RAW,CWI26_WIP,completed,,ACT-0043,ecount_reconstructed
MFG-001,2026-06-20 13:14:00,Manufacturing,Material Issued,production_operator,CWI26_RM_CASE,10,CWI26_RAW,CWI26_WIP,completed,,ACT-0044,ecount_reconstructed
MFG-001,2026-06-20 13:16:00,Manufacturing,Material Issued,production_operator,CWI26_PKG_BOX,10,CWI26_RAW,CWI26_WIP,completed,,ACT-0045,ecount_reconstructed
MFG-001,2026-06-20 13:30:00,Manufacturing,Production Receipt Created,production_operator,CWI26_FG_KIT,10,CWI26_WIP,CWI26_FG,completed,,ACT-0046,ecount_reconstructed
MFG-001,2026-06-20 13:35:00,Manufacturing,Inventory Updated,system,CWI26_FG_KIT,10,,CWI26_FG,completed,,ACT-0047,ecount_reconstructed
O2C-001,2026-06-20 15:00:00,O2C,Sales Order Received,sales_operator,CWI26_SO_001,1,CWI26_CUSTOMER_A,CWI26_FG,completed,,ACT-0050,ecount_reconstructed
