scenario_id,bitmask,hamming_weight,F1,F2,F3,F4,F5,F6,execution_mode
CWI-000000,000000,0,0,0,0,0,0,0,ecount_observed
CWI-000001,000001,1,0,0,0,0,0,1,synthetic_only
CWI-000010,000010,1,0,0,0,0,1,0,hybrid
CWI-000011,000011,2,0,0,0,0,1,1,synthetic_only
CWI-000100,000100,1,0,0,0,1,0,0,ecount_observed
CWI-000101,000101,2,0,0,0,1,0,1,synthetic_only
CWI-000110,000110,2,0,0,0,1,1,0,hybrid
CWI-001000,001000,1,0,0,1,0,0,0,ecount_observed
CWI-001001,001001,2,0,0,1,0,0,1,synthetic_only
CWI-001010,001010,2,0,0,1,0,1,0,hybrid
CWI-001100,001100,2,0,0,1,1,0,0,hybrid
CWI-010000,010000,1,0,1,0,0,0,0,ecount_observed
CWI-010001,010001,2,0,1,0,0,0,1,synthetic_only
CWI-010010,010010,2,0,1,0,0,1,0,hybrid
CWI-010100,010100,2,0,1,0,1,0,0,hybrid
CWI-011000,011000,2,0,1,1,0,0,0,hybrid
CWI-100000,100000,1,1,0,0,0,0,0,ecount_observed
CWI-100001,100001,2,1,0,0,0,0,1,synthetic_only
CWI-100010,100010,2,1,0,0,0,1,0,hybrid
CWI-100100,100100,2,1,0,0,1,0,0,hybrid
CWI-101000,101000,2,1,0,1,0,0,0,hybrid
CWI-110000,110000,2,1,1,0,0,0,0,hybrid
